Location	Date	Incidence
Au	18.02.2021	67.56756756756756
Au	11.02.2021	0
Auggen	18.02.2021	35.7653791130186
Auggen	11.02.2021	107.2961373390558
Bad Krozingen	18.02.2021	34.35245620061834
Bad Krozingen	11.02.2021	24.53746871472739
Badenweiler	18.02.2021	67.68953068592057
Badenweiler	11.02.2021	22.56317689530686
Ballrechten-Dottingen	18.02.2021	0.0
Ballrechten-Dottingen	11.02.2021	0
Bollschweil	18.02.2021	0.0
Bollschweil	11.02.2021	0
Bötzingen	18.02.2021	56.27462014631401
Bötzingen	11.02.2021	0
Breisach am Rhein	18.02.2021	32.28305785123967
Breisach am Rhein	11.02.2021	51.65289256198347
Breitnau	18.02.2021	0.0
Breitnau	11.02.2021	0
Buchenbach	18.02.2021	95.87727708533077
Buchenbach	11.02.2021	31.95909236177693
Buggingen	18.02.2021	22.794620469569182
Buggingen	11.02.2021	113.97310234784591
Ebringen	18.02.2021	34.87966515521451
Ebringen	11.02.2021	34.87966515521451
Ehrenkirchen	18.02.2021	0.0
Ehrenkirchen	11.02.2021	13.331555792560993
Eichstetten am Kaiserstuhl	18.02.2021	0.0
Eichstetten am Kaiserstuhl	11.02.2021	55.06607929515419
Eisenbach (Hochschwarzwald)	18.02.2021	46.926325668700144
Eisenbach (Hochschwarzwald)	11.02.2021	0
Eschbach	18.02.2021	0.0
Eschbach	11.02.2021	0
Feldberg (Schwarzwald)	18.02.2021	0.0
Feldberg (Schwarzwald)	11.02.2021	0
Friedenweiler	18.02.2021	0.0
Friedenweiler	11.02.2021	0
Glottertal	18.02.2021	31.57562361856647
Glottertal	11.02.2021	0
Gottenheim	18.02.2021	0.0
Gottenheim	11.02.2021	34.34065934065934
Gundelfingen	18.02.2021	17.118890695882907
Gundelfingen	11.02.2021	34.237781391765814
Hartheim am Rhein	18.02.2021	0.0
Hartheim am Rhein	11.02.2021	0
Heitersheim	18.02.2021	94.42870632672333
Heitersheim	11.02.2021	47.214353163361665
Heuweiler	18.02.2021	0.0
Heuweiler	11.02.2021	0
Hinterzarten	18.02.2021	0.0
Hinterzarten	11.02.2021	38.00836183960471
Horben	18.02.2021	0.0
Horben	11.02.2021	0
Ihringen	18.02.2021	0.0
Ihringen	11.02.2021	48.764629388816644
Kirchzarten	18.02.2021	10.263779123473263
Kirchzarten	11.02.2021	20.527558246946526
Lenzkirch	18.02.2021	0.0
Lenzkirch	11.02.2021	59.241706161137444
Löffingen	18.02.2021	52.51411316791388
Löffingen	11.02.2021	0
March	18.02.2021	53.88511693070374
March	11.02.2021	21.554046772281495
Merdingen	18.02.2021	0.0
Merdingen	11.02.2021	0
Merzhausen	18.02.2021	18.910741301059
Merzhausen	11.02.2021	170.196671709531
Müllheim	18.02.2021	36.69340042983698
Müllheim	11.02.2021	73.38680085967395
Münstertal/Schwarzwald	18.02.2021	0.0
Münstertal/Schwarzwald	11.02.2021	138.01261829652998
Neuenburg am Rhein	18.02.2021	40.73983541106494
Neuenburg am Rhein	11.02.2021	154.81137456204675
Oberried	18.02.2021	0.0
Oberried	11.02.2021	138.31258644536652
Pfaffenweiler	18.02.2021	0.0
Pfaffenweiler	11.02.2021	38.62495171881035
Schallstadt	18.02.2021	0.0
Schallstadt	11.02.2021	0
Schluchsee	18.02.2021	119.61722488038276
Schluchsee	11.02.2021	0
Sölden	18.02.2021	0.0
Sölden	11.02.2021	0
St. Märgen	18.02.2021	0.0
St. Märgen	11.02.2021	0
St. Peter	18.02.2021	0.0
St. Peter	11.02.2021	76.16146230007617
Staufen im Breisgau	18.02.2021	24.42897276169537
Staufen im Breisgau	11.02.2021	24.42897276169537
Stegen	18.02.2021	0.0
Stegen	11.02.2021	0
Sulzburg	18.02.2021	35.49875754348598
Sulzburg	11.02.2021	106.49627263045794
Titisee-Neustadt	18.02.2021	65.58989915553005
Titisee-Neustadt	11.02.2021	65.58989915553005
Umkirch	18.02.2021	86.76036786395974
Umkirch	11.02.2021	17.352073572791948
Vogtsburg im Kaiserstuhl	18.02.2021	0.0
